date,effort,running
28/09/15,0,0
29/09/15,0,0
30/09/15,0,0
01/10/15,0,0
02/10/15,2.5,2.5
05/10/15,0,2.5
06/10/15,0.5,3
07/10/15,1,4
08/10/15,0,4
09/10/15,2,6
12/10/15,2,8
13/10/15,7,15
14/10/15,3.5,18.5
15/10/15,4.5,23
16/10/15,7.75,30.75
19/10/15,10.5,41.25
20/10/15,6,47.25
21/10/15,8,55.25
22/10/15,9,64.25
23/10/15,3.5,67.75
26/10/15,0,67.75
27/10/15,2,69.75
28/10/15,4,73.75
29/10/15,8,81.75
30/10/15,9.5,91.25
02/11/15,6.75,98
03/11/15,11,109
04/11/15,2.5,111.5
05/11/15,0,111.5
06/11/15,0,111.5
09/11/15,5.5,117
10/11/15,1,118
12/11/15,3,121
13/11/15,2,123
16/11/15,13.75,136.75
17/11/15,11,147.75
18/11/15,2.75,150.5
19/11/15,8.25,158.75
20/11/15,0,158.75
23/11/15,12,170.75
24/11/15,8.75,179.5
25/11/15,8.25,187.75
26/11/15,9.5,197.25
27/11/15,9.75,207
30/11/15,14.25,221.25
01/12/15,7.5,228.75
02/12/15,5.5,234.25
03/12/15,2.5,236.75
04/12/15,1.5,238.25
07/12/15,0,238.5
08/12/15,4,242.25
09/12/15,2.5,244.75
10/12/15,0.75,245.5
11/12/15,1,246.5
14/12/15,4,250.5
15/12/15,12,262.5
16/12/15,0,262.5
17/12/15/,10,272.5
18/12/15,1,273.5
19/12/15,2,275.5
21/12/15,5,280.5
22/12/15,1.25,281.75
